keyword,color
False,yellow
True,yellow
None,yellow
and,green
or,green
not,green
as,blue
assert,blue
async,red
await,red
break,blue
class,orange
continue,blue
def,orange
del,orange
elif,blue
else,blue
except,blue
finally,blue
for,blue
from,orange
global,orange
if,blue
import,orange
in,orange
is,blue
lambda,orange
nonlocal,blue
pass,blue
raise,red
return,blue
try,blue
while,blue
with,orange
yield,blue
